word,meaning,native,sentence,ipa
zeitgenössisch,contemporary,,Die {{zeitgenössische}} Kunst ist sehr interessant und provokativ.,ˈtsaɪ̯tɡənɶsɪʃ
demokratisch,democratic,,Wir treffen {{demokratische}} Entscheidungen in unserer Gruppe.,deːmoːˈkʁaːtɪʃ
religiös,religious,,Er hat {{religiöse}} Überzeugungen und praktiziert seinen Glauben.,ʁelɪɡiˈøːs
historisch,historical,,Das {{historische}} Schloss ist über fünfhundert Jahre alt.,hɪˈstoːʁɪʃ
wissenschaftlich,scientific,,Die {{wissenschaftliche}} Studie zeigt interessante neue Erkenntnisse.,ˈvɪsənʃaftlɪç
legal,legal,,Das ist eine {{legale}} Geschäftstätigkeit ohne Probleme.,leːˈɡaːl
illegal,illegal,,Das Parken hier ist {{illegal}} und kostet Geld.,ɪleːˈɡaːl
freiwillig,voluntary,,Die {{freiwillige}} Arbeit ist wichtig für die Gesellschaft.,ˈfʁaɪ̯vɪlɪç
obligatorisch,mandatory,,Der Schulbesuch ist {{obligatorisch}} für alle Kinder.,ɔbliɡaˈtoːʁɪʃ
vorübergehend,temporary,,Diese {{vorübergehende}} Lösung hilft uns für eine Weile.,ˈfoːɐ̯ʔʏbɐɡeːənt
dauerhaft,permanent,,Wir suchen eine {{dauerhafte}} Anstellung im Unternehmen.,ˈdaʊ̯ɐhaft
dringend,urgent,,"Es ist {{dringend}} notwendig, sofort zu handeln.",ˈdʁɪŋənt
lecker,delicious,,Das Essen war sehr {{lecker}} und schmeckte hervorragend.,ˈlɛkɐ
scharf,spicy,,Die {{scharfe}} Sauce brennt mir auf der Zunge.,ʃaɐ̯f
süß,sweet,,Kinder mögen {{süße}} Schokolade und Bonbons gerne.,zyːs
bitter,bitter,,Dieser Kaffee schmeckt sehr {{bitter}} ohne Zucker.,ˈbɪtɐ
salzig,salty,,Die Chips sind zu {{salzig}} für meinen Geschmack.,ˈzaltsɪç
sauer,sour,,Die {{sauren}} Gurken passen gut zum Fleisch.,ˈzaʊ̯ɐ
frisch,fresh,,Das {{frische}} Gemüse kam heute vom Markt.,fʁɪʃ
reif,ripe / mature,,Die {{reifen}} Bananen sind gelb und weich.,ʁaɪ̯f
roh,raw,,{{Rohes}} Fleisch muss lange gekocht werden.,roː
gekocht,cooked,,Das {{gekochte}} Gemüse war sehr zart und weich.,ɡəˈkoχt
heiß,hot,,Der {{heiße}} Tee wärmt mich an kalten Tagen.,haɪ̯s
kalt,cold,,Das {{kalte}} Wasser erfrischt mich nach dem Sport.,kalt
lauwarm,lukewarm,,Das {{lauwarme}} Bad ist sehr angenehm und entspannend.,ˈlaʊ̯vaɐ̯m
feucht,humid / damp,,Das {{feuchte}} Klima macht mir manchmal Probleme.,fɔɪ̯çt
trocken,dry,,Der {{trockene}} Sommer war sehr heiß dieses Jahr.,ˈtʁɔkən
bewölkt,cloudy,,Heute ist das Wetter {{bewölkt}} und windig.,bəˈvɶlkt
sonnig,sunny,,Das {{sonnige}} Wetter macht alle Menschen glücklich.,ˈzɔnɪç
regnerisch,rainy,,Das {{regnerische}} Wochenende verbringe ich zu Hause.,ˈʁeːɡnɐɪ̯ʃ
stürmisch,stormy,,Die {{stürmische}} Nacht beschädigte viele Bäume.,ˈʃtʏɐ̯mɪʃ
windig,windy,,Das {{windige}} Wetter ist nicht ideal zum Segeln.,ˈvɪndɪç
der Beleg,receipt,,Bitte gib mir den {{Beleg}} für die Rechnung.,dɛɐ̯ ˈbeːleːk
die Rechnung,invoice / bill,,Die {{Rechnung}} für das Restaurant war sehr hoch.,diː ˈʁɛçnʊŋ
der Durchschnitt,average,,Der {{Durchschnitt}} der Testergebnisse liegt bei achtzig Prozent.,dɛɐ̯ ˈdʊɐ̯çʃnɪt
der Prozentsatz,percentage,,Der {{Prozentsatz}} der Arbeitslosigkeit ist gestiegen.,dɛɐ̯ pʁoˈtsɛntsaʦ
die Menge,quantity / amount,,Die {{Menge}} an Zucker in diesem Kuchen ist zu groß.,diː ˈmɛŋə
die Entfernung,distance,,Die {{Entfernung}} zwischen Berlin und München beträgt etwa 600 Kilometer.,diː ˈɛntfɛɐ̯nʊŋ
die Geschwindigkeit,speed,,Der Zug fährt mit einer {{Geschwindigkeit}} von 200 Stundenkilometern.,diː ɡəˈʃvɪndɪçkaɪ̯t
das Gewicht,weight,,Das {{Gewicht}} dieses Koffers ist viel zu schwer zum Tragen.,das ɡəˈvɪçt
die Größe,size,,Die {{Größe}} des neuen Hauses gefällt mir sehr gut.,diː ˈɡʁœsə
das Volumen,volume,,Das {{Volumen}} des Wassertanks reicht für eine ganze Woche.,das voˈluːmən
die Rate,rate,,Die {{Rate}} für den Kredit ist monatlich zu zahlen.,diː ˈʁaːtə
der Profit,profit,,Der {{Profit}} des Unternehmens ist dieses Jahr gestiegen.,deːɐ̯ ˈpʁoːfɪt
die Ausgabe,expense,,Die {{Ausgabe}} für Lebensmittel ist in meinem Budget eingeplant.,diː ˈaʊ̯sɡaːbə
das Einkommen,income / revenue,,Das {{Einkommen}} meiner Familie reicht für ein gutes Leben.,das ˈaɪ̯nkɔmən
das Gehalt,salary,,Mein {{Gehalt}} wird am Ende des Monats überwiesen.,das ɡəˈhalt
der Streik,strike,,Der {{Streik}} der Arbeiter dauerte zwei Wochen lang.,deːɐ̯ ˈʃtʁaɪ̯k
die Gewerkschaft,trade union,,Die {{Gewerkschaft}} verhandelt über bessere Arbeitsbedingungen.,diː ɡəˈvɛɐ̯kʃaft
die Arbeitslosigkeit,unemployment,,Die {{Arbeitslosigkeit}} in dieser Region ist leider sehr hoch.,diː ˈaɐ̯baɪ̯tsloːzɪçkaɪ̯t
die Rente,pension / retirement,,Nach 40 Jahren Arbeit bekomme ich eine {{Rente}}.,diː ˈʁɛntə
die Ausbildung,training / education,,Die {{Ausbildung}} zum Handwerker dauert normalerweise drei Jahre.,diː ˈaʊ̯sbildʊŋ
das Diplom,diploma / degree,,Ich habe mein {{Diplom}} an der Universität erhalten.,das diˈploːm
die Note,grade / mark,,Die {{Note}} in Mathematik war besser als erwartet.,diː ˈnoːtə
die Prüfung,exam,,Die {{Prüfung}} in Deutsch findet nächste Woche statt.,diː ˈpʁyːfʊŋ
der Kurs,course / class,,Ich belege einen {{Kurs}} in Programmierung an der Volkshochschule.,deːɐ̯ ˈkʊɐ̯s
die Lektion,lesson,,Die {{Lektion}} von heute war besonders interessant und hilfreich.,diː lɛkˈtsjoːn
die Hausaufgabe,homework,,Meine {{Hausaufgabe}} muss ich bis morgen fertig machen.,diː ˈhaʊ̯saʊ̯fɡaːbə
die Übung,exercise,,"Diese {{Übung}} hilft mir, mein Englisch zu verbessern.",diː ˈyːbʊŋ
der Lebenslauf,CV / résumé,,Mein {{Lebenslauf}} zeigt meine bisherige berufliche Erfahrung.,deːɐ̯ ˈleːbənslaʊ̯f
das Vorstellungsgespräch,job interview,,Das {{Vorstellungsgespräch}} für die neue Stelle ist morgen um zehn Uhr.,das ˈfoːɐ̯ʃtɛlʊŋsɡəʃpʁɛç
der Kandidat,candidate,,Der {{Kandidat}} hat alle erforderlichen Qualifikationen mitgebracht.,deːɐ̯ kandɪˈdaːt
die Stelle,position / job,,Ich habe eine {{Stelle}} als Grafikdesigner bekommen.,diː ˈʃtɛlə
die Karriere,career,,Meine {{Karriere}} als Ingenieur war sehr erfolgreich und erfüllend.,diː kaˈʁjeːʁə
die Beförderung,promotion,,Die {{Beförderung}} zum Manager war ein großer Traum von mir.,diː bəˈfœɐ̯deɐ̯ʊŋ
der Kollege,colleague,,Mein {{Kollege}} hilft mir gerne bei schwierigen Aufgaben.,deːɐ̯ koˈleːɡə
die Frist,deadline,,Die {{Frist}} für die Abgabe des Projekts ist übermorgen.,diː ˈfʁɪst
der Terminkalender,diary / agenda,,Ich trage alle Termine in meinen {{Terminkalender}} ein.,deːɐ̯ tɛɐ̯ˈmiːnkaləndɐ
das Projekt,project,,Unser {{Projekt}} wird in drei Monaten fertig sein.,das pʁoˈjɛkt
die Aufgabe,task,,Diese {{Aufgabe}} erfordert viel Konzentration und Geduld.,diː ˈaʊ̯fɡaːbə
das Ziel,objective / goal,,"Mein {{Ziel}} ist es, fließend Deutsch sprechen zu können.",das ˈtsiːl
die Strategie,strategy,,Die {{Strategie}} des Unternehmens fokussiert auf Nachhaltigkeit.,diː ʃtʁaːteˈɡiː
die Methode,method,,Die {{Methode}} zum Sprachen lernen ist sehr effektiv.,diː meˈtoːdə
die Technik,technique,,Die neue {{Technik}} spart Zeit und Kosten bei der Produktion.,diː ˈtɛçnɪk
die Kompetenz,skill / competence,,Seine {{Kompetenz}} in Informatik ist im ganzen Betrieb bekannt.,diː kɔmpeˈtɛnts
die Erfahrung,experience,,Meine {{Erfahrung}} als Lehrer hilft mir im neuen Job.,diː ɛɐ̯ˈfaːʁʊŋ
das Zertifikat,certificate,,Das {{Zertifikat}} bestätigt meine erfolgte Schulung in Sicherheit.,das tsɛɐ̯tɪfiˈkaːt
der Führerschein,driving licence,,Ich habe meinen {{Führerschein}} vor zwei Jahren gemacht.,deːɐ̯ ˈfyːʁɐʃaɪ̯n
der Reisepass,passport,,Mein {{Reisepass}} ist noch drei Jahre lang gültig.,deːɐ̯ ˈʁaɪ̯zəpas
das Visum,visa,,Ich brauche ein {{Visum}} für die Reise nach Russland.,das ˈviːzʊm
der Zoll,customs,,Der {{Zoll}} kontrollierte mein Gepäck sehr genau.,deːɐ̯ ˈtsɔl
die Botschaft,embassy,,"Ich muss in die {{Botschaft}} gehen, um ein Visum zu beantragen.",diː ˈboːtʃaft
die Staatsbürgerschaft,citizenship,,Ich habe die deutsche {{Staatsbürgerschaft}} vor fünf Jahren erhalten.,diː ˈʃtaːtsbyɐ̯ɡɐʃaft
die Nationalität,nationality,,Meine {{Nationalität}} ist auf meinem Reisepass eingetragen.,diː natsiɔnaːliˈtɛːt
der Einwanderer,immigrant,,Der {{Einwanderer}} lernte schnell die deutsche Sprache und Kultur.,deːɐ̯ ˈaɪ̯nvandəʁɐ
der Flüchtling,refugee,,Der {{Flüchtling}} erhielt Hilfe von mehreren Hilfsorganisationen.,deːɐ̯ ˈflʏçtlɪŋ
der Freiwillige,volunteer,,Der {{Freiwillige}} half beim Aufräumen des Parks.,deːɐ̯ ˈfʁaɪ̯vɪlɪɡə
die Spende,donation,,Eine großzügige {{Spende}} half der Tierschutzorganisation sehr.,diː ˈʃpɛndə
die Wohltätigkeit,charity,,{{Wohltätigkeit}} ist ein wichtiger Teil unserer Gesellschaft.,diː ˈvoːltɛːtɪçkaɪ̯t
die Solidarität,solidarity,,Die {{Solidarität}} der Nachbarn war in der Krise beeindruckend.,diː zɔliːdaːriˈtɛːt
die Ungerechtigkeit,injustice,,{{Ungerechtigkeit}} in der Welt muss bekämpft werden.,diː ˈʊnɡəʁɛçtɪçkaɪ̯t
der Protest,protest,,Tausende Menschen nahmen am {{Protest}} gegen die Regierung teil.,deːɐ̯ pʁɔˈtɛst
die Demonstration,demonstration,,Die {{Demonstration}} fand gestern auf dem Marktplatz statt.,diː dɛmɔnstʁaˈtsi̯oːn
die Revolution,revolution,,Die französische {{Revolution}} veränderte Europa grundlegend.,diː ʁɛvoːluˈtsi̯oːn
das Abkommen,agreement / deal,,Die beiden Länder unterzeichneten ein neues {{Abkommen}}.,das ˈapkɔmən
das Bündnis,alliance,,Das {{Bündnis}} zwischen den Parteien war sehr stabil.,das ˈbʏntnɪs
die Zusammenarbeit,cooperation,,Durch {{Zusammenarbeit}} erreichen wir gemeinsam unsere Ziele.,diː tsuːˈzamənʔaɐ̯baɪ̯t
der Einfluss,influence,,Der {{Einfluss}} der Medien auf Jugendliche ist groß.,deːɐ̯ ˈaɪ̯nflʊs
die Macht,power,,Absolute {{Macht}} verdirbt Menschen absolut.,diː maxt
die Autorität,authority,,Seine {{Autorität}} wurde von allen respektiert und anerkannt.,diː ʔaʊ̯toːriˈtɛːt
die Pflicht,duty,,"Es ist unsere {{Pflicht}}, für andere zu sorgen.",diː pflɪçt
das Privileg,privilege,,Ein gutes Zuhause ist ein großes {{Privileg}}.,das pʁɪvɪˈleːk
die Gelegenheit,opportunity,,Diese {{Gelegenheit}} kommt vielleicht nie wieder vor.,diː ɡəˈleːɡənhaɪ̯t
die Herausforderung,challenge,,Die {{Herausforderung}} des Klimawandels ist enorm.,diː hɛˈʁaʊ̯sfɔrdəʁʊŋ
der Fortschritt,progress,,Der {{Fortschritt}} in der Medizin ist bemerkenswert.,deːɐ̯ ˈfɔɐ̯tʃʁɪt
die Innovation,innovation,,{{Innovation}} treibt die Wirtschaft und Gesellschaft voran.,diː ɪnoːvaˈtsi̯oːn
die Entdeckung,discovery,,Die {{Entdeckung}} neuer Energiequellen ist dringend notwendig.,diː ɛntˈdɛkʊŋ
die Erfindung,invention,,Die {{Erfindung}} des Internets revolutionierte die Kommunikation.,diː ɛɐ̯ˈfɪndʊŋ
der Durchbruch,breakthrough,,Der wissenschaftliche {{Durchbruch}} kam unerwartet und überraschend.,deːɐ̯ ˈdʊɐ̯çbʁʊx
das Wachstum,growth,,Das {{Wachstum}} der Wirtschaft verlangsamte sich dieses Jahr.,das ˈvaxstuːm
die Entwicklung,development,,Die {{Entwicklung}} eines Kindes ist komplex und faszinierend.,diː ɛntˈvɪklʊŋ
der Rückgang,decline,,Der {{Rückgang}} der Vogelpopulation ist besorgniserregend.,deːɐ̯ ˈʁʏkɡaŋ
die Krise,crisis,,Während der {{Krise}} halfen Menschen einander spontan.,diː ˈkʁiːzə
der Kompromiss,compromise,,Ein {{Kompromiss}} war die einzige praktikable Lösung.,deːɐ̯ ˈkɔmpʁɔmɪs
der Konflikt,conflict,,Der {{Konflikt}} zwischen den beiden Gruppen eskalierte schnell.,deːɐ̯ ˈkɔnflɪkt
das Risiko,risk,,Das {{Risiko}} dieser Operation ist relativ gering.,das ˈʁɪzɪko
die Chance,chance / opportunity,,Diese {{Chance}} sollten Sie unbedingt nutzen.,diː ˈʃɑ̃sə
der Vorteil,advantage,,Der {{Vorteil}} dieses Plans ist seine Kosteneffizienz.,deːɐ̯ ˈfoːɐ̯taɪ̯l
der Nachteil,disadvantage,,Ein {{Nachteil}} ist der fehlende technische Support.,deːɐ̯ ˈnaxtaɪ̯l
die Qualität,quality,,Die {{Qualität}} dieses Produkts ist ausgezeichnet und hochwertig.,diː kvaːliˈtɛːt
die Quantität,quantity,,Die {{Quantität}} reichte nicht für alle Gäste.,diː kvantɪˈtɛːt
der Standard,standard,,Dieser {{Standard}} ist in der Branche anerkannt.,deːɐ̯ ˈʃtandaʁt
die Leistung,performance / achievement,,Die {{Leistung}} der Athlet:innen war überraschend gut.,diː ˈlaɪ̯stʊŋ
die Verbesserung,improvement,,Eine {{Verbesserung}} des Systems ist dringend erforderlich.,diː fɛɐ̯ˈbɛsəʁʊŋ
das Wetter,weather,,Das {{Wetter}} morgen wird sonnig und warm sein.,das ˈvɛtɐ
der Nebel,fog / mist,,Der {{Nebel}} machte die Autofahrt gefährlich und schwierig.,deːɐ̯ ˈneːbəl
das Gewitter,thunderstorm,,Das {{Gewitter}} zog schnell über die Stadt hinweg.,das ɡəˈvɪtɐ
der Blitz,lightning,,Der {{Blitz}} zündete einen Waldbrand an.,deːɐ̯ blɪts
der Donner,thunder,,"Der {{Donner}} war so laut, dass es alle erschreckte.",deːɐ̯ ˈdɔnɐ
der Frost,frost,,Der {{Frost}} beschädigte die Ernte in dieser Nacht.,deːɐ̯ fʁɔst
das Eis,ice,,Das {{Eis}} auf dem See war zu dünn zum Schlittschuhlaufen.,das ʔaɪ̯s
die Flut,flood,,Die {{Flut}} überflutete mehrere Dörfer in der Region.,diː fluːt
die Dürre,drought,,Die {{Dürre}} verursachte massive Ernteausfälle dieses Jahr.,diː ˈdʏʁə
der Hurrikan,hurricane,,Der {{Hurrikan}} richtete katastrophale Schäden an der Küste an.,deːɐ̯ huʁiˈkaːn
das Erdbeben,earthquake,,Das {{Erdbeben}} der Stärke acht zerstörte die Stadt.,das ˈɛɐ̯tbeːbən
der Vulkan,volcano,,Der {{Vulkan}} brach nach hundert Jahren wieder aus.,deːɐ̯ vʊlˈkaːn
die Lawine,avalanche,,Eine große {{Lawine}} verschüttete mehrere Skifahrer in den Bergen.,diː laˈviːnə
der Erdrutsch,landslide,,Der {{Erdrutsch}} zerstörte viele Häuser in dem Bergdorf.,deːɐ̯ ˈeːɐ̯tʁʊtʃ
die Überschwemmung,flood / inundation,,Die {{Überschwemmung}} zwang tausende Menschen zur Evakuierung.,diː ˈʔyːbɐʃvɛmʊŋ
der Brand,fire / blaze,,Der {{Brand}} in dem Lagerhaus dauerte über zehn Stunden.,deːɐ̯ bʁant
der Rauch,smoke,,Dicker {{Rauch}} stieg aus dem brennenden Gebäude auf.,deːɐ̯ ʁaʊ̯x
die Asche,ash,,Die {{Asche}} des Feuers bedeckte die ganze Straße.,diː ˈaʃə
das Gas,gas,,Das {{Gas}} wurde aus dem Kamin ins Haus gepumpt.,das ɡas
die Kohle,coal,,Die {{Kohle}} wurde im Bergwerk tief unter der Erde gefördert.,diː ˈkoːlə
der Stahl,steel,,Der {{Stahl}} für die Brücke kam aus der Fabrik.,deːɐ̯ ʃtaːl
das Eisen,iron,,Das {{Eisen}} wurde zu modernen Werkzeugen verarbeitet.,das ˈʔaɪ̯zən
das Kupfer,copper,,Das {{Kupfer}} hat eine schöne rötliche Farbe und ist leitfähig.,das ˈkʊpfɐ
das Gold,gold,,Das {{Gold}} war wertvoll und wurde sorgfältig aufbewahrt.,das ɡɔlt
das Silber,silver,,Das {{Silber}} glänzte wunderschön im Sonnenlicht des Zimmers.,das ˈzɪlbɐ
der Diamant,diamond,,Der {{Diamant}} in ihrem Ring kostete eine halbe Million Euro.,deːɐ̯ ˌdiamaːnt
der Edelstein,gemstone,,Der rare {{Edelstein}} wurde in der Krone des Königs verwendet.,deːɐ̯ ˈʔeːdəlʃtaɪ̯n
die Erfüllung,fulfilment,,Die {{Erfüllung}} meines Traums kam endlich nach vielen Jahren.,diː ɛɐ̯ˈfʏlʊŋ
das Datum,date / data point,,Das {{Datum}} dieser Ereignisse ist im Geschichtsbuch vermerkt.,das ˈdaːtʊm
die Tendenz,trend,,"Die {{Tendenz}} zeigt, dass mehr Menschen vegetarisch leben.",diː tɛnˈdɛnts
der Tornado,tornado,,Der {{Tornado}} verwüstete die ganze Stadt in wenigen Minuten.,deːɐ̯ tɔɐ̯ˈnaːdo
das Wohnzimmer,living room,,Das {{Wohnzimmer}} ist der größte Raum in unserem Haus.,das ˈvoːntsɪmɐ
das Schlafzimmer,bedroom,,Das {{Schlafzimmer}} ist klein aber sehr gemütlich eingerichtet.,das ˈʃlaːftsɪmɐ
das Dach,roof,,Das {{Dach}} des Hauses wurde nach dem Sturm repariert.,das dax
der Beton,concrete,,Der {{Beton}} wurde für die neue Terrasse verwendet.,deːɐ̯ beˈtoːn
der Kamm,comb,,Der {{Kamm}} liegt auf dem Badezimmertisch neben der Zahnbürste.,deːɐ̯ kam
das Make-up,make-up,,"Das {{Make-up}} hilft ihr, ein gepflegtes Aussehen zu haben.",das ˈmeɪ̯kʔʊp
der Lippenstift,lipstick,,Der {{Lippenstift}} in der roten Farbe steht ihr wirklich gut.,deːɐ̯ ˈlɪpənʃtɪft
die Halskette,necklace,,Die {{Halskette}} mit Perlen war ein Geschenk von ihrer Großmutter.,diː ˈhalskɛtə
der Ring,ring,,Der {{Ring}} an ihrem Finger glänzte wunderbar.,deːɐ̯ ʁɪŋ
der Ohrring,earring,,Der {{Ohrring}} fiel ihr aus dem Ohr und verloren.,deːɐ̯ ˈoːɐ̯ʁɪŋ
die Uhr,watch,,Die {{Uhr}} an meinem Handgelenk ist fünf Minuten schnell.,diː ʔuːɐ̯
die Sonnenbrille,sunglasses,,Die {{Sonnenbrille}} schützt ihre Augen vor den UV-Strahlen.,diː ˈzɔnənbʁɪlə
der Gürtel,belt,,Der {{Gürtel}} hielt seine Hose perfekt an Ort und Stelle.,deːɐ̯ ˈɡʏɐ̯təl
das Portemonnaie,purse / wallet,,Das {{Portemonnaie}} ist aus echtem Leder und sehr hochwertig.,das pɔɐ̯təmoˈneː
der Rucksack,backpack,,Der {{Rucksack}} war schwer und voller Schulbücher.,deːɐ̯ ˈʁʊkzak
die Niere,kidney,,Die {{Niere}} ist ein wichtiges Organ für die Ausscheidung.,diː ˈniːʁə
die Leber,liver,,Die {{Leber}} filtert Giftstoffe aus unserem Blut heraus.,diː ˈleːbɐ
die Achsel,armpit,,Die {{Achsel}} schwitzt sehr bei großer körperlicher Anstrengung.,diː ˈaksəl
der Knöchel,ankle,,Der {{Knöchel}} war nach dem Sturz geschwollen und blau.,deːɐ̯ ˈknœçəl
der Daumen,thumb,,Der {{Daumen}} ist der stärkste Finger der Hand.,deːɐ̯ ˈdaʊ̯mən
der Zeigefinger,index finger,,"Der {{Zeigefinger}} wird verwendet, um auf Dinge zu zeigen.",deːɐ̯ ˈtsaɪ̯ɡəfɪŋɐ
die Ferse,heel,,Die {{Ferse}} schmerzt nach dem langen Spaziergang.,diː ˈfɛɐ̯zə
die Stirn,forehead,,Die {{Stirn}} ist der obere Teil des Gesichts.,diː ʃtɪɐ̯n
das Kinn,chin,,Das {{Kinn}} ist der untere Teil des menschlichen Gesichts.,das kɪn
die Wange,cheek,,"Die {{Wange}} wurde rot, als sie verlegen wurde.",diː ˈvaŋə
die Augenbraue,eyebrow,,Die {{Augenbraue}} ist braun und buschig wie bei ihr.,diː ˈʔaʊ̯ɡənbʁaʊ̯ə
die Wimper,eyelash,,Die {{Wimper}} schützt das Auge vor Schmutz und Staub.,diː ˈvɪmpɐ
das Gehör,hearing / auditory,,Das {{Gehör}} wird mit zunehmendem Alter immer schlechter.,das ɡəˈhœɐ̯
der Geruch,smell (sense),,Der {{Geruch}} des frischen Brotes kam aus der Bäckerei.,deːɐ̯ ɡəˈʁʊx
die Milz,spleen,,"Die {{Milz}} ist ein kleines, aber wichtiges Organ.",diː mɪlts
der Blinddarm,appendix,,Der {{Blinddarm}} muss manchmal chirurgisch entfernt werden.,deːɐ̯ ˈblɪntdaɐ̯m
